# 명사
[-s]
das Auto, 자동차
das Baby, 아기
die Band, 밴드
der Blog, 블로그
die CD, CD
der Chat, 채팅
der Comic, 만화
die Disco, 디스코
das Foto, 사진
das Handy, 휴대폰
die Homepage, 홈페이지
die Kamera, 카메라
das Kino, 영화관
der Laptop, 노트북
die Mail, 메일
der Park, 공원
der Radiergummi, 지우개
das Radio, 라디오
das Restaurant, 식당
das Smartphone, 스마트폰
der Tee, 차
der Test, 시험
das T-Shirt, 티셔츠

[-]
der Antwortbogen, 답안지
das Brötchen, 롤빵
der Computer, 컴퓨터
das Essen, 음식
der Fehler, 실수
das Fenster, 창문
der Kuchen, 케이크
der Kugelschreiber, 볼펜
das Mädchen, 소녀
der Morgen, 아침
der Onkel, 삼촌
das Poster, 포스터
der Pullover, 풀오버
das Rätsel, 수수께끼
das Theater, 극장
das Wiedersehen, 재회
das Wohnzimmer, 거실
das Zimmer, 방

[-e]
der Abend, 저녁
der Anruf, 전화
der Arm, 팔
der Bahnsteig, 승강장
das Beispiel, 예시
der Beruf, 직업
der Bleistift, 연필
der Brief, 편지
das Brot, 빵
der Film, 영화
der Fisch, 생선
das Flugzeug, 비행기
der Fotoapparat, 카메라
der Freund, 친구
der Geburtstag, 생일
das Geschäft, 가게
das Geschenk, 선물
das Gespräch, 대화
das Gleis, 선로
das Haar, 머리카락
das Heft, 공책
das Jahr, 해
der Kiosk, 가판대
das Klavier, 피아노
das Kreuz, 십자가
der Kurs, 강의
das Mal, 번
der Mittag, 정오
der Ohrring, 귀걸이
das Paket, 소포
das Pferd, 말
das Problem, 문제
der Ring, 반지
der Salat, 샐러드
das Schiff, 배
das Spiel, 게임
das Stück, 조각
der Tag, 날
der Text, 텍스트
das Tier, 동물
der Tisch, 테이블

[-n]
die Adresse, 주소
die Apotheke, 약국
die Aufgabe, 과제
das Auge, 눈
die Banane, 바나나
die Blume, 꽃
die Bluse, 블라우스
der/die Erwachsene, 어른
die Fahrkarte, 승차권
die Familie, 가족
der Familienname, 성
die Flasche, 병
die Frage, 질문
die Geschichte, 이야기
die Haltestelle, 정류장
die Hausaufgabe, 숙제
die Idee, 아이디어
die Insel, 섬
die Jacke, 재킷
der/die Jugendliche, 청소년
der Junge, 소년
die Karte, 카드
die Kartoffel, 감자
die Katze, 고양이
die Klasse, 학급
die Küche, 주방
die Lampe, 램프
die Marmelade, 잼
die Minute, 분
der Name, 이름
die Note, 점수
die Nummer, 번호
die Pause, 쉬는 시간
die Postkarte, 엽서
die Reise, 여행
die Sache, 물건
die Schwester, 자매
der See, 호수
die Seite, 페이지
die Sprache, 언어
die Straße, 거리
die Stunde, 시간
die Suppe, 수프
die Tante, 이모
die Tasche, 가방
die Tasse, 컵
die Toilette, 화장실
der Vorname, 이름
die Woche, 주

[-en]
die Ahnung, 짐작
die Antwort, 대답
die Arbeit, 일
das Bett, 침대
